name,borough,description
P.S. 188 - BROOKLYN,BROOKLYN ,SANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA
P.S. 192 - BROOKLYN,BROOKLYN ,DETERIORATED WINDOW WELL WALLS/FLOOD/PARAPETS/ROOF
P.S. 193 - BROOKLYN,BROOKLYN ,TCU REMOVAL & PLAYGROUND REDEVELOPMENT
P.S. 194 - BROOKLYN,BROOKLYN ,MASONRY/WINDOWS/ROOFS/PARAPETS
P.S. 195 - BROOKLYN,BROOKLYN ,SANDY- TEMP BOILER
P.S. 196 - BROOKLYN,BROOKLYN ,FY16 RESO A LIBRARY UPGRADE
P.S. 198 - BROOKLYN,BROOKLYN ,PLAYGROUND REDEVELOPMENT AND TCU
I.S. 201 - BROOKLYN,BROOKLYN ,PARAPETS/EXT MASONRY/CONCRETE/FLOOD/ROOF
P.S. 208 - BROOKLYN,BROOKLYN ,CRACKED MASONRY, DETERIORATED MORTAR/FLOOD/WINDOWS
I.S. 211 - BROOKLYN,BROOKLYN ,INTERIOR SPACES/HEATING PLT/ELEC/CLIMATE/FLOOD EL
P.S. 225 - BROOKLYN,BROOKLYN ,FLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS
P.S. 235 - BROOKLYN,BROOKLYN ,PLAYGROUND REDEVELOPMENT & TCU
I.S. 239 - BROOKLYN,BROOKLYN ,SANDY:INTERIOR/CONCRETE/HEAT/ELEC/FLOOD/FA
P.S. 235 - BROOKLYN,BROOKLYN ,STRUCTURAL DEFECTS
P.S. 244 - BROOKLYN,BROOKLYN ,MORTAR JOINTS DETERIOR /FLOOD/PARAPETS/ROOF/WINDOW
P.S. 251 - BROOKLYN,BROOKLYN ,FY16 RESO A AUDITORIUM UPGRAD
MIDDLE SCHOOL FOR ART & PHILOS,BROOKLYN ,FY16 RESO A ROOM CONVERSIONS/PARTITIONING
MIDDLE SCHOOL FOR ART & PHILOS,BROOKLYN ,PLANYC BOILER CONVERSION/CLIMATE CONTROL
P.S. 254 - BROOKLYN,BROOKLYN ,SANDY - HEATING/ELEC SYS/FLOOD ELIM/CLIMATE CONTRL
I.S. 259 - BROOKLYN,BROOKLYN ,CRACKED EXTERIOR MASONRY/ROOFS/PARAPETS
I.S. 265 -BROOKLYN,BROOKLYN ,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
P.S. 272 - BROOKLYN,BROOKLYN ,PLAYGROUND REDEVELOPMENT AND TCU REMOVAL
P.S. 279 - BROOKLYN,BROOKLYN ,SANDY:INTERIOR/HEAT/ELEC/FLOOD/ELEVATOR/HVAC/FA
I.S. 281 - BROOKLYN,BROOKLYN ,SANDY:ELEVATOR UPG/FLOOD/FIRE ALARM
P.S. 288 - BROOKLYN,BROOKLYN ,INTERIOR SPACES/HEATING/ELEC/FLOOD/CLIMATE
P.S. 290 - BROOKLYN,BROOKLYN ,TCU REMOVAL & PLAYGROUND REDEVELOPMENT
SCHOOL FOR INT'L STUD - K,BROOKLYN ,DAMAGED EXTERIOR MASONRY/PARAPETS/ROOF
I.S. 562 - BROOKLYN,BROOKLYN ,FY16 RESO A AUDITORIUM UPGRADE
P.S. 297 - BROOKLYN,BROOKLYN ,FY16 RESO A LIBRARY UPGRADE
LIBERTY AVENUE MIDDLE SCHOOL,BROOKLYN ,TCU REMOVAL/PLAYGROUND REDEVELOPMENT
P.S. 307 - BROOKLYN,BROOKLYN ,CRACKED EXT MASONRY/ROOFS/PARAPETS
P.S. 307 - BROOKLYN,BROOKLYN ,RENOVATION OF CLASSROOM 332
P.S. 308 - BROOKLYN,BROOKLYN ,FY14 RESO A LIBRARY UPGRADE
P.S. 375 - BROOKLYN,BROOKLYN ,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL
P.S. 321 - BROOKLYN,BROOKLYN ,FULL PROGRAM ACCESSIBILITY/FIRE ALARM
P.S. 377 - BROOKLYN,BROOKLYN ,LL 41-16 COMPLIANCE
M.S. 354 - BROOKLYN,BROOKLYN ,LIBRARY UPGRADE
KINGSBOROUGH EARLY COLLEGE SCH,BROOKLYN ,ELECTRICAL LIGHTING FIXTURES
KINGSBOROUGH EARLY COLLEGE SCH,BROOKLYN ,SANDY:INT/HEAT/FLOOD/PIPING/NON-SANDY:PIPING/FLOOD
MIDWOOD HS - BROOKLYN,BROOKLYN ,CRACKED CONCRETE STRUCTURE/FIELD HOUSE
ABRAHAM LINCOLN HS - BROOKLYN,BROOKLYN ,SANDY: INTERIOR/VENT/ELEC/FLOOD/ATHLETIC FIELD
BROOKLYN TECH HS - K,BROOKLYN ,LOW VOLT ELEC SYS/KITCHEN FIRE SUPRESSION SYS
PERFORMING ARTS AND TECH. HS -,BROOKLYN ,FY14 RESO A GYMNASIUM UPGRADE
THE INTERNATIONAL HS - BROOKLY,BROOKLYN ,MASONRY/WINDOWS/PARAPETS/ROOFS/FLOOD ELIMINAITON
NEW UTRECHT HS - BROOKLYN,BROOKLYN ,ATHLETIC FIELD REPAIRS
I.S. 382 - BROOKLYN,BROOKLYN ,ELECTRICAL LIGHTING FIXTURES
SCIENCE TECH & RESEARCH - K,BROOKLYN ,FY15 RESO A ELECTRICAL SYSTEMS
BUSHWICK HS OF SOCIAL JUSTICE,BROOKLYN ,SCHOOL BASED HEALTH CENTER
FORT HAMILTON HS - K,BROOKLYN ,FY14 RESO A AUDITORIUM UPGRADE
SHEEPSHEAD BAY HS - BROOKLYN,BROOKLYN ,SCHOOL BASED HEALTH CENTER
GEORGE WESTINGHOUSE VOC. HS,BROOKLYN ,LIBRARY UPGRADE
GEORGE WESTINGHOUSE VOC. HS,BROOKLYN ,PARAPETS/EXTERIOR MASONRY/ROOFS/FLOOD ELIMINATION
P.S. 8 - BROOKLYN,BROOKLYN ,SCIENCE LAB UPGRADES
CLARA BARTON HS - K,BROOKLYN ,FAILING COPING STONE/ROOFS
AUTOMOTIVE TRADES VOC HS - K,BROOKLYN ,ELECTRICAL LIGHTING FIXTURES
WIILIAMSBURG PREP- BROOKLYN,BROOKLYN ,ROOFS/WINDOWS/PARAPETS/EXT MASONRY
BROOKLYN HS OF THE ARTS - BROO,BROOKLYN ,ANSUL SYS/FIRE ALARM/MECHANICAL SYS - VENTILATION
BROOKLYN HS OF THE ARTS - BROO,BROOKLYN ,DAMAGED EXTERIOR WALLS/ROOFS
I.S. 340 - BROOKLYN,BROOKLYN ,ELECTRICAL LIGHTING FIXTURES
I.S. 266 - BROOKLYN,BROOKLYN ,MASONRY/PIPING/DOOR/FLOOD/WIN/PARAPETS/ROOF/HVAC
P.S. 1 - MANHATTAN,MANHATTAN,RPZ VALVES/LOW VOLTAGE ELECTRICAL/ANSUL SYSTEM
P.S. 5 - MANHATTAN,MANHATTAN,FIRE ALARM SYSTEM/SMOKE DAMPERS
P.S. 5 - MANHATTAN,MANHATTAN,PARAPETS/ROOFS/WINDOWS
FREDERICK DOUGLAS ACADEMY - M,MANHATTAN,SCIENCE LAB ACID WASTE LINES
P.P.A.S. - MANHATTAN,MANHATTAN,FY13 RESO A ROOM CONVERSIONS / PART
P.P.A.S. - MANHATTAN,MANHATTAN,MASONRY/AUD UPG/WIN/FLOOD/PARAPETS/ROOFS/FA
P.S. 40 - MANHATTAN,MANHATTAN,FY16 RESO A ROOFTOP PLAYGROUND
J.H.S. 47 (SCH FOR THE DEAF) -,MANHATTAN,PARAPETS/WINDOWS/EXTERIOR MASONRY
I.S. 54 - MANHATTAN,MANHATTAN,MASONRY & GRANITE STEP DEFECTS
EASTSIDE COMMUNITY HS - M,MANHATTAN,FIFTH FLOOR CEILING REPLACEMENT
P.S. 361 - MANHATTAN,MANHATTAN,RPZ VALVES/LOW VOLT/ELEC UPGRADE
P.S. 63 - MANHATTAN,MANHATTAN,PARAPETS/ROOFS/FLOOD ELIMINATION/EXTERIOR MASONRY
P.S. 72 - MANHATTAN,MANHATTAN,PARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND
