name,borough,attendancePercentage
THE NEW SCHOOL FOR LEADERSHIP AND JOURNA,X,94.05
P.S. 246 POE CENTER,X,91.14
I.S. 254,X,93.07
BRONX ACADEMY FOR SOFTWARE ENGINEERING,X,75.81
KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,X,86.62
P.S. 279 CAPTAIN MANUEL RIVERA JR.,X,95.93
P.S. M.S. 280 MOSHOLU PARKWAY,X,92.75
BRONX SCHOOL OF LAW AND FINANCE,X,78.26
P.S. 291,X,92.92
P.S. 306,X,94.01
LUISA PINEIRO FUENTES SCHOOL OF SCIENCE,X,94.52
BRONX DANCE ACADEMY SCHOOL,X,93.96
P.S. 310 MARBLE HILL,X,94.06
P.S. 315 LAB SCHOOL,X,93.56
PROVIDING URBAN LEARNERS SUCCESS IN EDUC,X,49.34
THE BRONX SCHOOL OF YOUNG LEADERS,X,95.22
P.S. 340,X,92.66
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,X,87.98
AMPARK NEIGHBORHOOD,X,93.08
BRONX COLLABORATIVE HIGH SCHOOL,X,67.73
WORLD VIEW HIGH SCHOOL,X,90.99
P.S. 360,X,92.07
ACADEMY FOR PERSONAL LEADERSHIP AND EXCE,X,94.23
IN TECH ACADEMY M.S. HIGH SCHOOL 368,X,94.14
KNOWLEDGE AND POWER PREPARATORY ACADEMY,X,-1.00
ELEMENTARY SCHOOL FOR MATH SCIENCE AND,X,93.77
SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,X,93.62
M.S. 390,X,94.45
THE ANGELO PATRI MIDDLE SCHOOL,X,91.02
P.S. 396,X,96.41
ENGLISH LANGUAGE LEARNERS AND INTERNATIO,X,81.74
HIGH SCHOOL FOR TEACHING AND THE PROFESS,X,83.62
BELMONT PREPARATORY HIGH SCHOOL,X,85.41
FORDHAM HIGH SCHOOL FOR THE ARTS,X,92.53
FORDHAM LEADERSHIP ACADEMY,X,87.16
BRONX HIGH SCHOOL FOR LAW AND COMMUNITY,X,88.83
DEWITT CLINTON HIGH SCHOOL,X,75.49
CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC T,X,91.08
THE BRONX HIGH SCHOOL OF SCIENCE,X,95.70
CRESTON ACADEMY,X,94.97
EAST FORDHAM ACADEMY FOR THE ARTS,X,91.39
MARBLE HILL HIGH SCHOOL FOR INTERNATIONA,X,94.29
CROTONA INTERNATIONAL HIGH SCHOOL,X,77.67
ROSE HILL PRE K CENTER,X,82.30
BRONX THEATRE HIGH SCHOOL,X,76.34
DISCOVERY HIGH SCHOOL,X,-1.00
HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,X,81.00
HIGH SCHOOL OF AMERICAN STUDIES AT LEHMA,X,95.58
P.S. 016 WAKEFIELD,X,89.85
P.S. 019 JUDITH K. WEISS,X,93.53
P.S. 021 PHILIP H. SHERIDAN,X,87.70
P.S. 041 GUN HILL ROAD,X,92.81
P.S. 068 BRONX,X,94.18
P.S. 076 THE BENNINGTON SCHOOL,X,90.61
P.S. 078 ANNE HUTCHINSON,X,92.91
P.S. 083 DONALD HERTZ,X,95.50
P.S. 087 BRONX,X,93.00
P.S. 089 BRONX,X,93.46
P.S. 096 RICHARD RODGERS,X,89.89
P.S. 097 BRONX,X,95.37
P.S. 103 HECTOR FONTANEZ,X,89.65
P.S. 105 SEN ABRAHAM BERNSTEIN,X,91.41
P.S. 106 PARKCHESTER,X,94.03
P.S. 108 PHILIP J. ABINANTI,X,94.77
P.S. 111 SETON FALLS,X,90.31
P.S. 112 BRONXWOOD,X,91.53
P.S. 121 THROOP,X,93.02
J.H.S. 127 THE CASTLE HILL,X,92.09
J.H.S. 144 MICHELANGELO,X,91.51
P.S. 153 HELEN KELLER,X,95.12
P.S. 160 WALT DISNEY,X,96.28
BAYCHESTER ACADEMY,X,93.91
P.S. 175 CITY ISLAND,X,92.08
P.S. 178 DR. SELMAN WAKSMAN,X,93.79
M.S. 180 DR. DANIEL HALE WILLIAMS,X,95.45
I.S. 181 PABLO CASALS,X,92.16
CORNERSTONE ACADEMY FOR SOCIAL ACTION,X,92.58
P.S. M.S. 194,X,95.30
BRONX HEALTH SCIENCES HIGH SCHOOL,X,96.76
BRONX HIGH SCHOOL FOR WRITING AND COMMUN,X,73.37
BRONX LAB SCHOOL,X,73.56
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEUR,X,79.36
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,X,75.38
NORTH BRONX SCHOOL OF EMPOWERMENT,X,90.06
COLLEGIATE INSTITUTE FOR MATH AND SCIENC,X,86.55
BRONX ACADEMY OF HEALTH CAREERS,X,83.60
ASTOR COLLEGIATE ACADEMY,X,78.45
BRONX GREEN MIDDLE SCHOOL,X,92.61
BRONX ALLIANCE MIDDLE SCHOOL,X,90.00
YOUNG VOICES ACADEMY OF THE BRONX,X,91.16
LEADERS OF TOMORROW,X,91.62
BRONX HIGH SCHOOL FOR THE VISUAL ARTS,X,83.17
HARRY S TRUMAN HIGH SCHOOL,X,79.81
CORNERSTONE ACADEMY FOR SOCIAL ACTION MI,X,91.76
PELHAM ACADEMY OF ACADEMICS AND COMMUNIT,X,92.69
THE STEAM BRIDGE SCHOOL,X,92.34
THE MATILDA AVENUE SCHOOL,X,93.52
P.S. M.S. 11X498 VAN NEST ACADEMY,X,95.97
BRONXDALE HIGH SCHOOL,X,-1.00
HIGH SCHOOL OF LANGUAGE AND INNOVATION,X,88.28
NEW WORLD HIGH SCHOOL,X,89.50
THE BRONXWOOD PREPARATORY ACADEMY,X,74.24
ONE WORLD MIDDLE SCHOOL AT EDENWALD,X,94.64
BAYCHESTER MIDDLE SCHOOL,X,91.90
DISTRICT 11 PRE K CENTER,X,85.18
PELHAM PREPARATORY ACADEMY,X,85.82
HIGH SCHOOL FOR CONTEMPORARY ARTS,X,71.23
BRONX AEROSPACE HIGH SCHOOL,X,66.66
BRONX PARK MIDDLE SCHOOL,X,91.44
PELHAM GARDENS MIDDLE SCHOOL,X,91.56
LINDEN TREE ELEMENTARY SCHOOL,X,93.47
P.S. 006 WEST FARMS,X,91.11
P.S. 044 DAVID C. FARRAGUT,X,87.58
P.S. 047 JOHN RANDOLPH,X,93.72
P.S. 057 CRESCENT,X,93.42
P.S. 061 FRANCISCO OLLER,X,91.27
P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,X,90.36
P.S. 067 MOHEGAN SCHOOL,X,86.98
J.H.S. 098 HERMAN RIDDER,X,81.05
M.S. 129 ACADEMY FOR INDEPENDENT LEARNIN,X,91.65
P.S. 134 GEORGE F. BRISTOW,X,89.74
P.S. 150 CHARLES JAMES FOX,X,89.78
E.S.M.T I.S. 190,X,93.47
P.S. 195,X,92.04
P.S. 196,X,93.80
P.S. 211,X,94.75
P.S. 212,X,90.57
P.S. 214,X,88.82
SCHOOL OF PERFORMING ARTS,X,89.52
MOTT HALL V,X,88.39
METROPOLITAN HIGH SCHOOL THE,X,68.64
EXPLORATIONS ACADEMY H.S.,X,80.88
BRONX LATIN,X,88.38
EAST BRONX ACADEMY FOR THE FUTURE,X,82.08
FREDERICK DOUGLASS ACADEMY V. MIDDLE SCH,X,91.07
FANNIE LOU HAMER MIDDLE SCHOOL,X,90.61
THE SCHOOL OF SCIENCE AND APPLIED LEARNI,X,-1.00
FAIRMONT NEIGHBORHOOD SCHOOL,X,92.40
KAPPA III,X,94.98
I.S. X318 MATH SCIENCE TECHNOLOGY THR,X,90.98
ACCION ACADEMY,X,92.15
EMOLIOR ACADEMY,X,91.38
PAN AMERICAN INTERNATIONAL HIGH SCHOOL A,X,86.87
ARTURO A. SCHOMBURG SATELLITE ACADEMY BR,X,64.20
SAMARA COMMUNITY SCHOOL,X,95.45
URBAN SCHOLARS COMMUNITY SCHOOL,X,95.09
THE CINEMA SCHOOL,X,90.29
BRONX CAREER AND COLLEGE PREPARATORY HIG,X,71.48
BRONX REGIONAL HIGH SCHOOL,X,54.14
BRONX ENVISION ACADEMY,X,79.50
THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,X,76.75
ARCHER ELEMENTARY SCHOOL,X,86.85
P.S. 536,X,94.04
HIGH SCHOOL OF WORLD CULTURES,X,68.43
P.S. 595,X,84.96
FANNIE LOU HAMER FREEDOM HIGH SCHOOL,X,77.35
WINGS ACADEMY,X,65.09
BRONX LITTLE SCHOOL,X,93.89
P.S. 003 THE BEDFORD VILLAGE,K,88.18
P.S. 008 ROBERT FULTON,K,93.81
P.S. 009 TEUNIS G. BERGEN,K,93.50
P.S. 011 PURVIS J. BEHAN,K,95.52
P.S. 020 CLINTON HILL,K,91.52
P.S. 044 MARCUS GARVEY,K,86.08
P.S. 046 EDWARD C. BLUM,K,84.90
P.S. 054 SAMUEL C. BARNES,K,92.34
P.S. 056 LEWIS H. LATIMER,K,89.01
P.S. 067 CHARLES A. DORSEY,K,89.51
P.S. 093 WILLIAM H. PRESCOTT,K,84.51
M.S. 113 RONALD EDMONDS LEARNING CENTER,K,90.64
P.S. 133 WILLIAM A. BUTLER,K,94.91
P.S. 256 BENJAMIN BANNEKER,K,86.61
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL O,K,79.86
M.S. K266 PARK PLACE COMMUNITY MIDDLE,K,90.90
P.S. 270 JOHANN DEKALB,K,-1.00
P.S. 282 PARK SLOPE,K,92.47
P.S. 287 BAILEY K. ASHFORD,K,82.31
SATELLITE EAST MIDDLE SCHOOL,K,96.20
P.S. 305 DR. PETER RAY,K,91.03
P.S. 307 DANIEL HALE WILLIAMS,K,82.80
DOCK STREET SCHOOL FOR STEAM STUDIES,K,93.38
URBAN ASSEMBLY SCHOOL FOR MUSIC AND ART,K,68.55
THE URBAN ASSEMBLY UNISON SCHOOL,K,89.57
BROOKLYN COMMUNITY ARTS MEDIA HIGH SCH,K,79.89
SCIENCE SKILLS CENTER HIGH SCHOOL FOR SC,K,-1.00
BROOKLYN TECHNICAL HIGH SCHOOL,K,93.53
BROOKLYN INTERNATIONAL HIGH SCHOOL,K,93.82
THE URBAN ASSEMBLY SCHOOL FOR LAW AND JU,K,84.61
ACADEMY OF ARTS AND LETTERS,K,97.77
ACORN COMMUNITY HIGH SCHOOL,K,52.85
URBAN ASSEMBLY INSTITUTE OF MATH AND SCI,K,81.42
BROOKLYN ACADEMY HIGH SCHOOL,K,47.80
GOTHAM PROFESSIONAL ARTS ACADEMY,K,71.42
BEDFORD ACADEMY HIGH SCHOOL,K,91.50
GEORGE WESTINGHOUSE CAREER AND TECHNICAL,K,82.14
BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND,K,22.33
BENJAMIN BANNEKER ACADEMY,K,86.67
CITY POLYTECHNIC HIGH SCHOOL OF ENGINEER,K,89.29
FORT GREENE PREPARATORY ACADEMY,K,-1.00
DISTRICT 13 PRE K CENTER,K,88.40
P.S. 016 LEONARD DUNKLY,K,92.03
P.S. 017 HENRY D. WOODWORTH,K,94.48
P.S. 018 EDWARD BUSH,K,90.20
P.S. 023 CARTER G. WOODSON,K,89.96
P.S. 031 SAMUEL F. DUPONT,K,94.19
P.S. 034 OLIVER H. PERRY,K,94.39
J.H.S. 050 JOHN D. WELLS,K,91.53
P.S. 059 WILLIAM FLOYD,K,89.55
JUAN MOREL CAMPOS SECONDARY SCHOOL,K,79.28
P.S. 084 JOSE DE DIEGO,K,93.82
P.S. 110 THE MONITOR,K,94.78
P.S. 120 CARLOS TAPIA,K,93.71
JOHN ERICSSON MIDDLE SCHOOL 126,K,90.42
P.S. 132 THE CONSELYEA SCHOOL,K,94.49
P.S. 147 ISAAC REMSEN,K,88.21
P.S. I.S. 157 THE BENJAMIN FRANKLIN HEAL,K,93.09
P.S. 196 TEN EYCK,K,91.15
P.S. 250 GEORGE H. LINDSAY,K,92.29
P.S. 257 JOHN F. HYLAN,K,92.16
P.S. 297 ABRAHAM STOCKTON,K,91.78
I.S. 318 EUGENIO MARIA DE HOSTOS,K,95.08
P.S. 319,K,92.92
P.S. 380 JOHN WAYNE ELEMENTARY,K,94.25
BROOKLYN ARBOR ELEMENTARY SCHOOL,K,92.25
BROOKLYN LATIN SCHOOL THE,K,93.09
THE WILLIAMSBURG HIGH SCHOOL OF ART AND,K,-1.00
PROGRESS HIGH SCHOOL FOR PROFESSIONAL CA,K,68.40
EAST WILLIAMSBURG SCHOLARS ACADEMY,K,61.38
THE HIGH SCHOOL FOR ENTERPRISE BUSINESS,K,78.03
BROOKLYN PREPARATORY HIGH SCHOOL,K,57.19
WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTUR,K,90.20
WILLIAMSBURG PREPARATORY SCHOOL,K,89.37
CONSELYEA PREPARATORY SCHOOL,K,92.63
M.S. 582,K,94.31
LYONS COMMUNITY SCHOOL,K,80.26
AUTOMOTIVE HIGH SCHOOL,K,83.06
YOUNG WOMEN S LEADERSHIP SCHOOL OF BROOK,K,87.33
EL PUENTE ACADEMY FOR PEACE AND JUSTICE,K,-1.00
P.S. 001 THE BERGEN,K,95.29
MAGNET SCHOOL OF MATH SCIENCE AND DESIG,K,96.53
P.S. 015 PATRICK F. DALY,K,91.54
P.S. 024,K,95.53
P.S. 029 JOHN M. HARRIGAN,K,96.09
P.S. 032 SAMUEL MILLS SPROLE,K,94.94
P.S. 038 THE PACIFIC,K,90.73
P.S. 039 HENRY BRISTOW,K,97.55
M.S. 51 WILLIAM ALEXANDER,K,96.72
P.S. 058 THE CARROLL,K,95.92
J.H.S. 088 PETER ROUGET,K,94.06
P.S. 094 THE HENRY LONGFELLOW,K,97.03
P.S. 107 JOHN W. KIMBALL,K,96.35
THE MAURICE SENDAK COMMUNITY SCHOOL,K,94.15
P.S. 124 SILAS B. DUTCHER,K,90.87
P.S. 130 THE PARKSIDE,K,94.96
P.S. 131 BROOKLYN,K,95.80
I.S. 136 CHARLES O. DEWEY,K,94.79
THE BROOKLYN NEW SCHOOL P.S. 146,K,94.50
THE WINDSOR TERRACE SCHOOL,K,94.51
P.S. 169 SUNSET PARK,K,96.46
P.S. 172 BEACON SCHOOL OF EXCELLENCE,K,93.75
P.S. 230 DORIS L. COHEN,K,95.68
P.S. 261 PHILIP LIVINGSTON,K,92.69
P.S. 295,K,94.40
P.S. 321 WILLIAM PENN,K,94.67
THE CHILDREN S SCHOOL,&nbsp;,97.27
BROOKLYN FRONTIERS HIGH SCHOOL,K,69.67
DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH,K,92.14
M.S. 442 CARROLL GARDENS SCHOOL FOR INNO,K,96.05
NEW VOICES SCHOOL OF ACADEMIC CREATIVE,K,94.26
THE MATH SCIENCE EXPLORATORY SCHOOL,K,95.75
BROOKLYN COLLABORATIVE STUDIES,K,83.22
JOHN JAY SCHOOL FOR LAW,K,75.59
SECONDARY SCHOOL FOR JOURNALISM,K,72.87
PARK SLOPE COLLEGIATE,K,80.23
THE BOERUM HILL SCHOOL FOR INTERNATIONAL,K,87.89
SUNSET PARK AVENUES ELEMENTARY SCHOOL,K,96.13
COBBLE HILL SCHOOL OF AMERICAN STUDIES,K,44.88
WEST BROOKLYN COMMUNITY HIGH SCHOOL,K,63.29
KHALIL GIBRAN INTERNATIONAL ACADEMY,K,80.63
BROOKLYN HIGH SCHOOL OF THE ARTS,K,89.04
SUNSET PARK HIGH SCHOOL,K,71.30
RED HOOK NEIGHBORHOOD SCHOOL,K,82.78
MILLENNIUM BROOKLYN HS,K,95.40
SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,K,29.67
THE LITTLE BROOKLYN PRE K CENTER,K,88.96
SUNSET PARK PREP,K,97.15
M.S. 839,K,92.35
PRE K CENTER AT BISHOP FORD SCHOOL SITE,K,90.13
THE SCHOOL OF CREATIVITY AND INNOVATION,K,87.23
P.S. 005 DR. RONALD MCNAIR,K,86.60
P.S. 021 CRISPUS ATTUCKS,K,88.42
P.S. 025 EUBIE BLAKE SCHOOL,K,89.47
P.S. 026 JESSE OWENS,K,91.35
P.S. 028 THE WARREN PREP ACADEMY,K,93.75
M.S. 035 STEPHEN DECATUR,K,92.30
P.S. 040 GEORGE W. CARVER,K,92.75
J.H.S. 057 WHITELAW REID,K,89.09
P.S. 081 THADDEUS STEVENS,K,86.33
P.S. 243K THE WEEKSVILLE SCHOOL,K,86.63
P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMEN,K,86.66
M.S. 267 MATH SCIENCE TECHNOLOGY,K,94.91
P.S. 308 CLARA CARDWELL,K,83.46
P.S. 309 THE GEORGE E. WIBECAN PREPARATO,K,90.90
P.S. 335 GRANVILLE T. WOODS,K,89.90
BOYS AND GIRLS HIGH SCHOOL,K,73.87
BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOL,K,-1.00
BRIGHTER CHOICE COMMUNITY SCHOOL,K,89.57
BROOKLYN BROWNSTONE SCHOOL,K,91.78
RESEARCH AND SERVICE HIGH SCHOOL,K,-1.00
MADIBA PREP MIDDLE SCHOOL,K,95.40
THE BROOKLYN ACADEMY OF GLOBAL FINANCE,K,65.13
NELSON MANDELA HIGH SCHOOL,K,62.71
THE BROOKLYN GREEN SCHOOL,K,95.55
PARKSIDE PREPARATORY ACADEMY,K,89.01
NORMA ADAMS CLEMONS ACADEMY,K,-1.00
DR. JACQUELINE PEEK DAVIS SCHOOL,K,87.63
M.S. 061 DR. GLADSTONE H. ATWELL,K,88.51
P.S. 091 THE ALBANY AVENUE SCHOOL,K,90.94
P.S. 092 ADRIAN HEGEMAN,K,90.23
PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIG,K,86.94
P.S. 138 BROOKLYN,K,90.40
P.S. 161 THE CROWN,K,89.97
P.S. 181 BROOKLYN,K,92.70
P.S. 189 THE BILINGUAL CENTER,K,93.08
P.S. 191 PAUL ROBESON,K,89.94
P.S. 221 TOUSSAINT L OUVERTURE,K,92.22
P.S. 241 EMMA L. JOHNSTON,K,91.91
M.S. 246 WALT WHITMAN,K,92.55
P.S. 249 THE CATON,K,96.75
P.S. 289 GEORGE V. BROWER,K,89.22
P.S. 316 ELIJAH STROUD,K,94.74
I.S. 340,K,96.98
EBBETS FIELD MIDDLE SCHOOL,K,98.62
ELIJAH STROUD MIDDLE SCHOOL,K,91.57
THE SCHOOL OF INTEGRATED LEARNING,K,95.73
P.S. 375 JACKIE ROBINSON SCHOOL,K,91.11
ACADEMY FOR COLLEGE PREPARATION AND CARE,K,79.47
M.S. K394,K,91.41
P.S. 397 FOSTER LAURIE,K,92.14
P.S. 398 WALTER WEAVER,K,88.25
P.S. 399 STANLEY EUGENE CLARK,K,90.06
ACADEMY OF HOSPITALITY AND TOURISM,K,74.14
RONALD EDMONDS LEARNING CENTER II,K,90.58
INTERNATIONAL HIGH SCHOOL AT PROSPECT HE,K,77.98
THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,K,78.30
SCHOOL FOR HUMAN RIGHTS THE,K,87.21
NEW BRIDGES ELEMENTARY,K,93.89
HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVE,K,68.66
HIGH SCHOOL FOR SERVICE LEARNING AT ER,K,66.12
SCIENCE TECHNOLOGY AND RESEARCH EARLY C,K,91.87
HIGH SCHOOL FOR PUBLIC SERVICE: HEROES O,K,93.23
BROOKLYN ACADEMY OF SCIENCE AND THE ENVI,K,82.92
BROOKLYN SCHOOL FOR MUSIC THEATRE,K,81.75
BROWNSVILLE ACADEMY HIGH SCHOOL,K,54.47
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,K,87.96
CLARA BARTON HIGH SCHOOL,K,71.78
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,K,42.85
BROOKLYN ARTS AND SCIENCE ELEMENTARY SCH,K,92.54
NEW HEIGHTS MIDDLE SCHOOL,K,97.01
BROOKLYN INSTITUTE FOR LIBERAL ARTS,K,92.08
ACADEMY FOR HEALTH CAREERS,K,84.84
P.S. 770 NEW AMERICAN ACADEMY,K,90.06
P.S. 66,K,94.47
I.S. 068 ISAAC BILDERSEE,K,93.42
P.S. 114 RYDER ELEMENTARY,K,96.00
P.S. 115 DANIEL MUCATEL SCHOOL,K,94.70
P.S. 135 SHELDON A. BROOKNER,K,96.76
P.S. 208 ELSA EBELING,K,93.33
I.S. 211 JOHN WILSON,K,90.16
P.S. 219 KENNEDY KING,K,91.80
P.S. 233 LANGSTON HUGHES,K,96.11
P.S. 235 JANICE MARIE KNIGHT SCHOOL,K,95.43
P.S. 244 RICHARD R. GREEN,K,91.98
P.S. 268 EMMA LAZARUS,K,89.42
P.S. 272 CURTIS ESTABROOK,K,88.95
P.S. 276 LOUIS MARSHALL,K,91.98
P.S. 279 HERMAN SCHREIBER,K,94.47
I.S. 285 MEYER LEVIN,K,83.91
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,K,92.53
IT TAKES A VILLAGE ACADEMY,K,82.98
BROOKLYN GENERATION SCHOOL,K,68.88
BROOKLYN THEATRE ARTS HIGH SCHOOL,K,75.81
KURT HAHN EXPEDITIONARY LEARNING SCHOOL,K,86.00
VICTORY COLLEGIATE HIGH SCHOOL,K,70.21
BROOKLYN BRIDGE ACADEMY,K,47.02
EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,K,92.70
MIDDLE SCHOOL FOR ART AND PHILOSOPHY,K,92.04
HIGH SCHOOL FOR INNOVATION IN ADVERTISIN,K,74.88
CULTURAL ACADEMY FOR THE ARTS AND SCIENC,K,77.31
HIGH SCHOOL FOR MEDICAL PROFESSIONS,K,85.74
OLYMPUS ACADEMY,K,56.41
ACADEMY FOR CONSERVATION AND THE ENVIRON,K,70.33
URBAN ACTION ACADEMY,K,69.49
EAST BROOKLYN COMMUNITY HIGH SCHOOL,K,66.32
BROOKLYN SCIENCE AND ENGINEERING ACADEMY,K,96.23
P.S. 007 ABRAHAM LINCOLN,K,92.16
P.S. 013 ROBERTO CLEMENTE,K,91.16
P.S. 065,K,93.03
P.S. 089 CYPRESS HILLS,K,95.94
P.S. 108 SAL ABBRACCIAMENTO,K,93.75
P.S. 149 DANNY KAYE,K,91.24
P.S. 158 WARWICK,K,89.18
P.S. 159 ISAAC PITKIN,K,93.28
I.S. 171 ABRAHAM LINCOLN,K,95.15
P.S. 190 SHEFFIELD,K,86.59
P.S. 202 ERNEST S. JENKYNS,K,86.06
P.S. 213 NEW LOTS,K,89.20
P.S. 214 MICHAEL FRIEDSAM,K,90.70
J.H.S. 218 JAMES P. SINNOTT,K,85.77
P.S. 224 HALE A. WOODRUFF,K,86.28
P.S. 273 WORTMAN,K,88.53
P.S. 290 JUAN MOREL CAMPOS,K,92.17
J.H.S. 292 MARGARET S. DOUGLAS,K,87.97
P.S. 306 ETHAN ALLEN,K,87.58
THE FRESH CREEK SCHOOL,K,85.48
P.S. 328 PHYLLIS WHEATLEY,K,89.93
P.S. 345 PATROLMAN ROBERT BOLDEN,K,90.75
P.S. 346 ABE STARK,K,91.93
I.S. 364 GATEWAY,K,91.43
ACADEMY FOR YOUNG WRITERS,K,91.76
EAST NEW YORK FAMILY ACADEMY,K,88.39
SPRING CREEK COMMUNITY SCHOOL,K,86.53
FREDERICK DOUGLASS ACADEMY VIII MIDDLE S,K,95.20
FDNY CAPTAIN VERNON A. RICHARD HIGH SC,K,75.19
HIGH SCHOOL FOR CIVIL RIGHTS,K,59.47
PERFORMING ARTS AND TECHNOLOGY HIGH SCHO,K,65.97
WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH,K,76.42
BROOKLYN GARDENS ELEMENTARY SCHOOL,K,88.70
MULTICULTURAL HIGH SCHOOL,K,86.87
TRANSIT TECH CAREER AND TECHNICAL EDUCAT,K,64.35
ACADEMY OF INNOVATIVE TECHNOLOGY,K,83.53
BROOKLYN LAB SCHOOL,K,74.30
VAN SICLEN COMMUNITY MIDDLE SCHOOL,K,90.06
CYPRESS HILLS COLLEGIATE PREPARATORY SCH,K,73.48
W. H. MAXWELL CAREER AND TECHNICAL EDUCA,K,64.08
VISTA ACADEMY,K,95.53
LIBERTY AVENUE MIDDLE SCHOOL,K,85.05
SCHOOL OF THE FUTURE BROOKLYN,K,88.02
EAST NEW YORK ELEMENTARY SCHOOL OF EXCEL,K,90.89
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENC,K,92.06
SCHOOL FOR CLASSICS HIGH SCHOOL,K,77.94
HIGHLAND PARK COMMUNITY SCHOOL,K,87.90
THE URBAN ASSEMBLY SCHOOL FOR COLLABORAT,K,82.58
M.S. 907,K,90.90
P.S. I.S. 30 MARY WHITE OVINGTON,K,96.16
P.S. 048 MAPLETON,K,94.50
J.H.S. 062 DITMAS,K,95.23
P.S. 69 VINCENT D. GRIPPO SCHOOL,K,98.59
P.S. 102 THE BAYVIEW,K,94.73
P.S. I.S. 104 THE FORT HAMILTON SCHOOL,K,95.48
P.S. 105 THE BLYTHEBOURNE,K,98.38
P.S. 112 LEFFERTS PARK,K,94.62
P.S. 127 MCKINLEY PARK,K,96.05
P.S. 160 WILLIAM T. SAMPSON,K,98.19
P.S. 163 BATH BEACH,K,93.75
P.S. 164 CAESAR RODNEY,K,96.17
RALPH A. FABRIZIO SCHOOL,K,97.23
P.S. 176 OVINGTON,K,96.63
P.S. 179 KENSINGTON,K,94.67
THE SEEALL ACADEMY,K,97.18
P.S. 185 WALTER KASSENBROCK,K,93.63
P.S. 186 DR. IRVING A GLADSTONE,K,95.50
THE CHRISTA MCAULIFFE SCHOOL I.S. 187,K,98.20
P.S. 192 THE MAGNET SCHOOL FOR MATH AN,K,91.92
P.S. 200 BENSON SCHOOL,K,95.07
J.H.S. 201 THE DYKER HEIGHTS,K,97.65
P.S. 204 VINCE LOMBARDI,K,97.42
P.S. 205 CLARION,K,95.76
J.H.S. 220 JOHN J. PERSHING,K,96.71
J.H.S. 223 THE MONTAUK,K,97.15
J.H.S. 227 EDWARD B. SHALLOW,K,96.67
P.S. 229 DYKER,K,95.09
P.S. 247 BROOKLYN,K,95.48
J.H.S. 259 WILLIAM MCKINLEY,K,96.99
P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR,K,94.56
THE SCHOOL FOR FUTURE LEADERS,K,98.30
NEW UTRECHT HIGH SCHOOL,K,80.46
HIGH SCHOOL OF TELECOMMUNICATION ARTS AN,K,91.94
FORT HAMILTON HIGH SCHOOL,K,82.86
P.S. 503: THE SCHOOL OF DISCOVERY,K,93.69
FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,K,64.42
P.S. 506: THE SCHOOL OF JOURNALISM TEC,K,95.14
URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTI,K,93.39
THE ACADEMY OF TALENTED SCHOLARS,K,97.45
BROOKLYN SCHOOL OF INQUIRY,K,95.29
P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHO,K,96.59
DISTRICT 20 PRE K CENTER,K,88.90
SCHOOL OF MATH SCIENCE AND HEALTHY LIV,K,95.85
P.S. 90 EDNA COHEN SCHOOL,K,91.84
P.S. 095 THE GRAVESEND,K,93.76
I.S. 096 SETH LOW,K,95.75
P.S. 97 THE HIGHLAWN,K,97.28
I.S. 98 BAY ACADEMY,K,96.84
P.S. 099 ISAAC ASIMOV,K,91.02
P.S. 100 THE CONEY ISLAND SCHOOL,K,95.47
P.S. 101 THE VERRAZANO,K,94.85
P.S. 121 NELSON A. ROCKEFELLER,K,95.61
P.S. 128 BENSONHURST,K,96.18
P.S. 153 HOMECREST,K,93.72
P.S. 177 THE MARLBORO,K,95.67
P.S. 188 MICHAEL E. BERDY,K,90.07
P.S. 199 FREDERICK WACHTEL,K,90.89
P.S. 209 MARGARET MEAD,K,95.68
P.S. 212 LADY DEBORAH MOODY,K,92.78
P.S. 215 MORRIS H. WEISS,K,95.00
P.S. 216 ARTURO TOSCANINI,K,92.60
P.S. K225 THE EILEEN E. ZAGLIN,K,91.92
